Run 1,40723,651582,5248677,45966896,416083877
Run 2,22778,405950,4194683,42447126,425832950
Run 3,37593,414024,4075255,41475815,415880315
Run 4,37630,375152,4184182,42559214,425813055
Run 5,37593,404246,4160699,41676956,415961821
Run 6,23371,243429,3937066,43571199,417496006
Run 7,25519,255503,3762694,42757223,432395351
Run 8,23018,255596,3898565,41578002,416091663
Run 9,41241,563729,4287311,42720124,447929736
Run 10,24204,249614,3941491,41188195,416022087
Average,31367,381882.5,4169062.3,42594075,422950686.1
